en,ˈdɪkʃənɛɹi
en,fɹiː
en,θɪˈsɔːɹəs
en,pɔːɹtˈmæntoʊ
pt,ˈfɾɐj
en,kæt
en,kat
enm,kat
nrf,ka
ro,kat
en,ˈɡɹætɪs
da,ɡraːtis
nl,ˈɣraːtɪs
de,ˈɡʁaːtɪs
it,ˈɡratis
de,ʊmˈzɔnst
hrx,umˈsɔnʃt
nl,ɡraːˈtʋi
en,wɜːd
en,wɝd
af,vɔrt
nl,ʋɔrt
enm,wurd
osx,word
en,bʊk
en,buːk
li,boːk
en,paʊnd
enm,puːnd
en,pɒnd
en,pɑnd
nl,pɔnt
en,paɪz
nl,ˈpis
en,ˈnɑnsɛns
en,ˈnɒnsəns
mfe,nɒnsɛns
en,paɪ
es,paɪ
mul,a
en,æɪ
sq,a
da,æː
nl,aː
eo,a
eo,a
de,ʔaː
it,a
lb,a
nn,a
ro,a
str,e
sco,ɑː
sco,ɛː
sco,ə
sco,ɑː
sco,aː
sms,ɑ
so,æ
so,ʔæ
cy,aː
ane,ɑ
en,kɹəʊ
en,kɹoʊ
en,ˈɹeɪvən
en,ˈɹævən
en,ˈɛləfənt
en,ˈwɪkʃənrɪ
it,ˈaːkwila
en,ˈsɪmbəl
en,ˈsɪmbəl
en,pɔɹtˈmæntoʊ
en,ˌpɔɹtmænˈtoʊ
en,pɔɹtˈmæntoʊ
en,ˌpɔɹtmænˈtoʊ
en,bɹaʊn
en,dɪˈsɛmbə
en,ˌflɒksɪˌnɔːsɪˌnaɪhɪlɪˌpɪlɪfɪˈkeɪʃən
en,mʌnθ
en,mʌnθ
en,mɑːtʃ
en,mɑɹtʃ
cy,marχ
de,aˈpʁɪl
en,meɪ
en,ɔːˈɡʌst
en,ɔːˈɡʌst
da,avɡɔst
ro,awˈɡust
en,sɛpˈtɛmbə
en,sɛpˈtɛmbəɹ
de,zɛpˈtɛmbɐ
hrx,ˌseːpˈtɛmpɐ
lb,zæpˈtæmbɐ
en,ɒkˈtəʊbə
en,ɑkˈtoʊbəɹ
en,nəʊˈvɛmbə
en,noʊˈvɛmbəɹ
de,noˈvɛmbɐ
lb,noːˈvæmbɐ
en,deɪ
enm,daj
enm,ˈmoːndɛi
en,ˈwɛnzdeɪ
en,ˈwɛnzdeɪ
en,ˈwenzdæe
en,ˈθɜːzdeɪ
en,ˈθɝzdeɪ
en,ˈθɵːzdæe
en,ˈfɹaɪdeɪ
enm,ˈfriːdɛi
en,ˈsatədeɪ
en,ˈsætɚdeɪ
en,ˈsʌndeɪ
en,ˌlɛksɪˈkɒɡɹəfi
en,ˌlɛksɪˈkɑɡɹəfi
en,ˈæntəˌnɪm
en,ˌkɑnəˈteɪʃən
en,ˌkɒnəˈteɪʃən
en,ˈsɪnənɪm
de,ˌzynoˈnyːm
nl,ˌdijaːˈlɛkt
en,sɪˈmæntɪks
en,naʊn
en,næːn
enm,nuːn
en,ˈaʊɚ
en,ˌælfəˈbɛtɪkəl
en,ˈmɪnɪt
en,maɪˈnjuːt
